Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Quartz,Brittle,"Transparent,Translucent","colourless,Purple,pink,Red,Black,Yellow,Brown,Green,Blue,Orange",7,Vitreous,White,poor,indistinct,indistinct,Conchoidal,"prismatic,pyramidal,massive",none,Uniaxial (+),Trigonal,Low,SiO2,2.65 - 2.66 g/cm3 (Measured)  2.66 g/cm3 (Calculated)
Orthoclase,Brittle,"Transparent,Translucent","colourless,white,yellow,pink",6,"Vitreous,Sub-Vitreous,Resinous",White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal",prismatic,none,Biaxial (-),Monoclinic,Low,KAlSi3O8,2.55 - 2.63 g/cm3 (Measured)  2.563 g/cm3 (Calculated)
Albite,Brittle,"Transparent,Translucent","White,gray,bluish","6,6.5",Vitreous,White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal","tabular,parallel,platy,granular,massive",none,Biaxial (+),Triclinic,Low,NaAlSi3O8,2.6 - 2.65 g/cm3 (Measured)  2.615(6) g/cm3 (Calculated)
Anorthite,Brittle,"Transparent,Translucent","Colourless,gray,white","6,6.5",Vitreous,White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal","prismatic,lamellar,granular,massive",none,Biaxial (-),Triclinic,Moderate,CaAl2Si2O8,2.74 - 2.76 g/cm3 (Measured)  2.76 g/cm3 (Calculated)
Halite,Brittle,"Transparent,Translucent","Colourless,white,yellow,red,purple,blue",2.5,Vitreous,White,good,3 directions,90 degrees,Conchoidal,"cubic,octahedral,massive,granular,columnar,",Weak,Isotropic,Isometric,Low,NaCl,2.168 g/cm3 (Measured)  2.165 g/cm3 (Calculated)
Gypsum,"Flexible,Inelastic","Transparent,Translucent","white,colourless,yellow,green,brown",2,Pearly,white,poor,3 directions,"120 degrees,60 degrees",fibrous,"massive,elongate,prismatic",none,Biaxial (+),Monoclinic,low,CaSO4*2H20,2.3
Calcite,Brittle,"Transparent,Translucent","White,Yellow,Red,Orange,Blue,Green,Brown,gray",3,"Vitreous,Sub-Vitreous,Resinous,Waxy,Pearly",White,good,3 directions,"120 degrees,60 degrees",Conchoidal,"granular,nodular,massive,rhombohedral",none,Uniaxial (-),Trigonal,Low,CaCO3,2.7102(2) g/cm3 (Measured)  2.711 g/cm3 (Calculated)
Dolomite,Brittle,"Transparent,Translucent","Colourless,white,gray,pink","3.5,4","Vitreous,Sub-Vitreous,Resinous,Waxy,Pearly",White,good,3 directions,"120 degrees,60 degrees",Sub-Conchoidal,"granular,nodular,massive,rhombohedral",none,Uniaxial (-),Trigonal,Moderate,CaMg(CO3)2,2.84 - 2.86 g/cm3 (Measured)  2.876 g/cm3 (Calculated)
Fluorite,Brittle,Transparent,"Purple,yellow,green,colourless,blue,pink,champagne,brown",4,"Vitreous,Dull",White,very good,3 directions,90 degrees,"Splintery,Sub-Conchoidal","cubic,octahedral,dodecahedral",none,Isotropic,Isometric,Moderate,CaF2,3.175 - 3.56 g/cm3 (Measured)  3.181 g/cm3 (Calculated)
Muscovite,Elastic,"Transparent,Translucent","White,colourless",2.5,"Vitreous,Silky,Pearly",White,very good,1 direction,indistinct,Micaceous,"massive,platy,sheets",Weak,Biaxial (-),monoclinic,Moderate,KAl2(Si3Al)O10(OH)2,2.77 - 2.88 g/cm3 (Measured)  2.83 g/cm3 (Calculated)
Talc,Sectile,"Transparent,Translucent","colourless,white,green,green,brown,gray",1,"Sub-Vitreous,Resinous,Waxy,Greasy,Pearly",White,good,1 direction,indistinct,"Fibrous,Micaceous","platy,radial",Weak,Biaxial (-),Triclinic,Moderate,Mg3Si4O10(OH)2,2.58 - 2.83 g/cm3 (Measured)  2.78 g/cm3 (Calculated)
Kaolinite,Sectile,"Translucent,Opaque","White,yellow,tan,brown","2,2.5","Waxy,Pearly,Dull,Earthy",White,poor,1 direction,indistinct,"Irregular,Uneven,Conchoidal,Sub-Conchoidal,Micaceous","platy,massive",none,,Triclinic,Low,Al2Si2O5(OH)4,2.63 g/cm3 (Calculated)
Augite,Brittle,"Translucent,Opaque","green,black,brown","5.5,6","Vitreous,Resinous,Dull","gray,brown",good,2 directions,90 degrees,"Irregular,Uneven,Sub-Conchoidal",prismatic,Visible,Biaxial (+),Monoclinic,High,"(Ca,Mg,Fe)2Si2O6",3.19 - 3.56 g/cm3 (Measured)  3.31 g/cm3 (Calculated)
Pigeonite,brittle,transparent,"black,brown",6,"Vitreous,Dull",white,good,2 directions,90 degrees,conchoidal,prismatic,none,Biaxial (+),Monoclinic,High,"(Mg,Fe,Ca)SiO3",3.17-3.46
Hedenbergite,Brittle,"Transparent,Opaque","green,black","5.5,6.5","Vitreous,Dull","white,gray",good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal","prismatic,columnar,granular,lamellar,massive",Weak,Biaxial (+),Monoclinic,High,CaFe2+Si2O6,3.56 g/cm3 (Measured)  3.65 g/cm3 (Calculated)
Diopside,Brittle,"Transparent,Opaque","green,blue,brown,colourless,white,gray","5.5,6.5","Vitreous,Dull",white,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal",Prismatic,none,Biaxial (+),Monoclinic,High,CaMgSi2O6,3.22 - 3.38 g/cm3 (Measured)  3.278 g/cm3 (Calculated)
Enstatite,Brittle,"Translucent,Opaque","White,green,brown,white,gray,olive,green","5,5.5,6","Vitreous,Pearly","gray,white",good,2 directions,90 degrees,"Irregular,Uneven",Prismatic,none,Biaxial (+),Orthorhombic,Moderate,MgSiO3,3.2 - 3.9 g/cm3 (Measured)  3.189 g/cm3 (Calculated)
Ferrosilite,Brittle,"Transparent,Translucent","brown,black","5,5.5,6","Vitreous,Sub-Vitreous,Greasy","gray,brown",good,2 directions,90 degrees,"Irregular,Uneven,Splintery","elongate,bladed,prismatic",Weak,Biaxial (+),Orthorhombic,High,Fe22+Si2O6,3.60 - 4.00 g/cm3 (Measured)  4.00 g/cm3 (Calculated)
Wollastonite,Brittle,"Transparent,Translucent","white,green,pink,brown,red,yellow","4.5,5","Vitreous,Pearly",White,good,3 directions,"84.5 degrees,70 degrees","Irregular,Uneven","fibrous,radial,granular,bladed,massive",none,Biaxial (-),triclinic,Moderate,"CaSiO3This formula only indicates the stoichiometry of the mineral. In order,reflect the structural units the mineral is composed of,the formula may also be written as Ca(Si3O9)0.33 ,as Ca3(Si3O9).",2.86 - 3.09 g/cm3 (Measured)  2.9 g/cm3 (Calculated)
Tremolite,Brittle,"Transparent,Translucent","White,brown,colourless,gray,green,yellow,violet","5,5.5,6","Vitreous,Silky",White,good,2 directions,"60 degrees,120 degrees",Splintery,"Elongate,prismatic,bladed,fibrous,granular,columnar,",none,Biaxial (-),Monoclinic,Moderate,"â—»Ca2Mg5Si8O22(OH)2The tremolite-actinolite series are defined as calcium amphiboles with A(Na+K+ 2Ca)<0,5 apfu,with C(Al+Fe3++2Ti)<0,5 apfu. The W position may contain (OH),F ,Cl. ",
Actinolite,Brittle,"Transparent,Translucent","Green,black,black","5,5.5,6","Vitreous,Silky",White,good,2 directions,"60 degrees,120 degrees",Splintery,"bladed,radial,fibrous",Weak,Biaxial (-),Monoclinic,Moderate,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Î£=5Si8O22(OH)2,3.03 - 3.24 g/cm3 (Measured)  3.07 g/cm3 (Calculated)
Anthophyllite,brittle,"Transparent,Translucent","White,gray,green,brown","5.5,6","Vitreous,Pearly","White,white",good,2 directions,"60 degrees,120 degrees",Conchoidal,"fibrous,massive",none,Biaxial (+),Orthorhombic,Moderate,"â—»Mg2Mg5Si8O22(OH)2The anthophyllite group are orthorhombic amphiboles in the magnesium-manganese amphibole subgroup. The minerals in this root name group may have either Pnma ,Pnmn (proto- prefixed name) space-group symmetry. The anthophyllite group's composition is defined with A(Na+K+2Ca)<0.5 apfu,C(Al+Fe3++2Ti)<1 apfu. ",
Riebeckite,Brittle,"Translucent,Opaque","black,blue,gray,brown","5,5.5","Vitreous,Sub-Vitreous",gray,good,2 directions,"60 degrees,120 degrees",Splintery,"Prismatic,elongate",Strong,Biaxial (-),Monoclinic,High,"â—»Na2(Fe32+Fe23+)Si8O22(OH)2Riebeckite is defined as a member of the riebeckite group with Fe2+>Mg in the C2+ position,(OH) dominant in the W position.",3.0-3.4
Forsterite,Brittle,"Transparent,Translucent","Green,yellow,white",7,Vitreous,White,Indistinct,indistinct,indistinct,Conchoidal,tabular,none,Biaxial (+),Orthorhombic,High,Mg2SiO4,3.275 g/cm3 (Measured)  3.271 g/cm3 (Calculated)
Fayalite,Brittle,"Transparent,Translucent","yellow,yellow,brown",7,"Vitreous,Greasy",colourless,Indistinct,indistinct,indistinct,Conchoidal,tabular,none,biaxial (-),Orthorhombic,Very High,Fe22+SiO4,4.392
Biotite,"brittle,flexible,elastic","Transparent,Translucent,Opaque","brown,brown,brown,yellow,white","2.5,3","Vitreous,Pearly",White,very good,1 direction,indistinct,Micaceous,"massive,Platy,sheets",Strong,Biaxial (-),Monoclinic,high,"K(Mg,Fe)3(AlSi",
Chlorite,flexible,"Transparent,Translucent","green,black,white,yellow,brown,pink,purple","2,2.5","vitreous,pearly,dull",white,very good,1 direction,indistinct,uneven,"tabular,prismatic,micaceous",none,,Monoclinic,,"(Mg,Fe)3(Si,Al)4O10",2.6 - 3.3 g/cm3 (Measured)  
Sphalerite,Brittle,"Transparent,Translucent","Yellow,brown,black,brown,colourless,green","3.5,4","Adamantine,Resinous","yellow,brown",Indistinct,indistinct,indistinct,Conchoidal,granular,none,Isotropic,Isometric,Moderate,"(OH)2·(Mg,Fe)3(OH)6",3.9 - 4.1 g/cm3 (Measured)  4.096 g/cm3 (Calculated)
Hematite,Brittle,Opaque,"gray,black,red","5,5.5,6,6.5","Metallic,Sub-Metallic,Dull,Earthy","red,brown",Indistinct,indistinct,indistinct,"Irregular,Uneven,Sub-Conchoidal","tabular,prismatic,rhombohedral,massive,granular,nodular,oolitic",Weak,Uniaxial (-),Trigonal,Very High,Fe2O3,5.26 g/cm3 (Measured)  5.255 g/cm3 (Calculated)
Limonite,brittle,Opaque,"brown,brown,brown","4,4.5,5,5.5",Earthy,"brown,red",Indistinct,indistinct,indistinct,uneven,massive,none,,,,"(Fe,O,OH,H2O)",2.7 - 4.3 g/cm3 (Measured)  
Galena,Brittle,Opaque,gray,2.5,"Metallic,Dull",gray,very good,3 directions,90 degrees,Sub-Conchoidal,"Cubic,octahedral,dodecahedral",none,Isotropic,Isometric,,PbS,7.58 g/cm3 (Measured)  7.57 g/cm3 (Calculated)
Magnetite,Brittle,Opaque,black,"5.5,6.5","Metallic,Sub-Metallic",Black,Indistinct,indistinct,indistinct,"Irregular,Uneven","octahedral,decahedral,massive,granular",none,Isotropic,Isometric,Very High,Fe2+Fe23+O4,5.175 g/cm3 (Measured)  5.2 g/cm3 (Calculated)
Graphite,Flexible,Opaque,"black,gray","1,1.5,2",Sub-Metallic,"Black,gray",Indistinct,indistinct,indistinct,Micaceous,"massive,tabular",Strong,Uniaxial (-),Hexagonal,,C,2.09 - 2.23 g/cm3 (Measured)  2.26 g/cm3 (Calculated)
Chalcopyrite,Brittle,Opaque,yellow,"3.5,4",Metallic,black,Indistinct,indistinct,indistinct,"Irregular,Uneven","tetrahedral,massive",none,,Tetragonal,,Cu1+Fe3+S2,4.1 - 4.3 g/cm3 (Measured)  4.18 g/cm3 (Calculated)
Pyrite,Brittle,Opaque,yellow,"6,6.5",Metallic,black,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","cubic,pyritohedral,octahedral,massive,granular,globular ",none,Isotropic,Isometric,,FeS2,4.8 - 5 g/cm3 (Measured)  5.01 g/cm3 (Calculated)
Nepheline,Brittle,"Transparent,Opaque","White,gray","5.5,6","Vitreous,Greasy",white,Indistinct,indistinct,indistinct,Sub-Conchoidal,"prismatic,granular,massive",none,uniaxial (-),Hexagonal,Low,NaAlSiO4,2.55 - 2.66 g/cm3 (Measured)  2.64 g/cm3 (Calculated)
Leucite,Brittle,"Transparent,Translucent","White,gray","5.5,6",Vitreous,white,Indistinct,indistinct,indistinct,Conchoidal,cubic,none,uniaxial (+),Tetragonal,Low,K(Si2Al)O6,2.45 - 2.5 g/cm3 (Measured)  2.46 g/cm3 (Calculated)
Pyrophyllite,Flexible,"Translucent,Opaque","White,gray,blue,green,yellow,green","1.5,2","Pearly,Dull",white,good,1 direction,indistinct,conchoidal,"Lamellar,granular,massive",none,Biaxial (-),Triclinic,Moderate,Al2Si4O10(OH)2,2.65 - 2.9 g/cm3 (Measured)  2.81 g/cm3 (Calculated)
Serpentine,"brittle,flexible,elastic",translucent,"gray,green","3,4,5,6",silky,white,good,1 direction,indistinct,fibrous,acicular,none,"Biaxial (-),Biaxial (+)",Monoclinic,,"D3[Si2O5](OH)4   D= Mg,Fe,Ni,Mn,Al,Zn",2.53
Phlogopite,Flexible,"Transparent,Translucent","Brown,gray,green,yellow,brown","2,2.5","Vitreous,Pearly",White,good,1 direction,indistinct,Micaceous,"Tabular,massive",Visible,Biaxial (-),Monoclinic,Moderate,KMg3(Si3Al)O10(OH)2,2.78 - 2.85 g/cm3 (Measured)  2.79 g/cm3 (Calculated)
Annite,Flexible,"Transparent,Translucent","Black,brown","2.5,3",Vitreous,"brown,white",good,1 direction,indistinct,uneven,"tabular,hexagonal,massive",none,Biaxial (-),Monoclinic,High,KFe32+AlSi3O10(OH)2,3.3 g/cm3 (Measured)  3.36 g/cm3 (Calculated)
Illite,Elastic,Translucent,"white,white,gray","1,2","Waxy,Greasy,Dull,Earthy",White,good,1 direction,indistinct,Micaceous,Micaceous,none,Biaxial (-),monoclinic,Low,"K0.65Al2.0[Al0.65Si3.35O10](OH)2Illite shows a range of compositions (see below). Hydronium may occur in the interlayer region,contribute,charge balance,tetrahedral Al-Si ratios may vary.",2.79 - 2.8 g/cm3 (Measured)  2.61 g/cm3 (Calculated)
Montmorillonite,brittle,Translucent,"White,yellow,green,pink,red","1,2","Dull,Earthy",white,good,1 direction,indistinct,"Irregular,Uneven","scaley,massive",Visible,Biaxial (-),Monoclinic,Low,"(Na,Ca)0.3(Al,Mg)2Si4O10(OH)2 Â· nH2O",2 - 3 g/cm3 (Measured)  
Vermiculite,pliable,translucent,"Brown,yellow","1.5,2","greasy,vitreous","white,yellow,brown",good,1 direction,indistinct,micaceous,"platy,scaley,micaceous",none,Biaxial (-),Monoclinic,Low,"Mg0.7(Mg,Fe3+,Al)6(Si,Al)8O20(OH)4 Â· 8H2OFormula previously given as (Mg,Fe,Al)3((Al,Si)4O10)(OH)2.4H2O.",2.4-2.7
Jadeite,brittle,translucent,"green,white,blue,green,violet,white,black",6,"subvitreous,pearly",white,good,2 directions,90 degrees,splintery,"massive,fibrous,granular,prismatic",none,Biaxial (+),Monoclinic,Moderate,NaAlSi2O6,3.25 - 3.35 g/cm3 (Measured)  
Acmite,Brittle,"Transparent,Opaque","green,black,brown",6,Vitreous,gray,good,2 directions,90 degrees,"Irregular,Uneven","Prismatic,fibrous,radial",Visible,Biaxial (-),Monoclinic,Very High,NaFe3+Si2O6,3.5 - 3.6 g/cm3 (Measured)  3.576 g/cm3 (Calculated)
Ferroactinolite,brittle,"transparent,translucent",green,"5,6",Vitreous,"green,white",good,2 directions,"120 degrees,60 degrees",splintery,"bladed,radial,fibrous",weak,Biaxial (-),Monoclinic,High,â—»Ca2Mg2.5-0Fe2+2.5-5Si8O22(OH)2,3.03-3.24
Cordierite,Brittle,"Transparent,Translucent","gray,violet,brown,colourless,blue","7,7.5",Vitreous,white,Indistinct,indistinct,indistinct,Sub-Conchoidal,"prismatic,granular,massive",Strong,,Orthorhombic,Low,"Mg2Al3(AlSi5)O18Also given as (Mg,Fe)2Al3(AlSi5O18).n(H2O,CO2,Na+,K+);",
Tourmaline,brittle,"transparent,translucent","black,colourless,brown,violet,yellow,orange,blue,red,green,pink",7,"vitreous,resinous",white,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","parallel,elongate,acicular,prismatic,massive,radial",none,Uniaxial (-),Trigonal,,"A(D3)G6(T6O18)(BO3)3X3ZA = Ca,Na,K,is vacant (large cations);",2.82-3.32
Beryl,Brittle,"transparent,translucent","colourless,green,blue,yellow,white,pink","7.5,8","Vitreous,Sub-Vitreous,Waxy,Greasy",White,Indistinct,indistinct,indistinct,Conchoidal,"prismatic,tabular,radial,columnar,granular,massive",none,Uniaxial (-),Hexagonal,Moderate,Be3Al2Si6O18,2.63 - 2.92 g/cm3 (Measured)  
Tephroite,Brittle,Translucent,"gray,olive,green,red,brown,brown",6,"Vitreous,Greasy",gray,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal",prismatic,Weak,Biaxial (-),Orthorhombic,Very High,Mn22+SiO4,3.87 - 4.12 g/cm3 (Measured)  4.15 g/cm3 (Calculated)
Zircon,Brittle,"Transparent,Translucent,Opaque","Colourless,yellow,gray,brown,green,brown,black",7.5,"Adamantine,Vitreous,Greasy",White,Indistinct,indistinct,indistinct,Conchoidal,"Tabular,prismatic,tetragonal-dipyramidal",Weak,Uniaxial (+),Tetragonal,Very High,"ZrSiO4May contain min,U,Th,Pb,Hf,Y/REE,P,others.",4.6 - 4.7 g/cm3 (Measured)  4.714 g/cm3 (Calculated)
Titanite,brittle,"Transparent,Translucent","Colourless,brown,green,yellow,red,black","5,5.5","Adamantine,Resinous",White,good,2 directions,40 degrees,Sub-Conchoidal,"wedge,massive",Visible,Biaxial (+),Monoclinic,Very High,CaTiSiO5,3.48 - 3.6 g/cm3 (Measured)  3.53 g/cm3 (Calculated)
Pyrope,brittle,"transparent,translucent","red,orange,red,purple,red,pink,red,colourless",7.5,Vitreous,White,Indistinct,indistinct,indistinct,Conchoidal,"dodecahedral,massive,granular,trapezohedral",none,Isotropic,Isometric,Very High,Mg3Al2(SiO4)3,3.582 g/cm3 (Measured)  
Almandine,Brittle,"Transparent,Translucent","red,red,violet,black","7,7.5","Vitreous,Resinous",White,Indistinct,indistinct,indistinct,Sub-Conchoidal,"dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,Very High,Fe32+Al2(SiO4)3,4.318 g/cm3 (Measured)  4.313 g/cm3 (Calculated)
Spessartine,brittle,"Transparent,Translucent","Red,orange,brown,brown,brown","6.5,7.5",Vitreous,White,Indistinct,indistinct,indistinct,Sub-Conchoidal,"massive,trapezohedral",none,Isotropic,Isometric,Very High,Mn32+Al2(SiO4)3,4.12 - 4.32 g/cm3 (Measured)  4.19 g/cm3 (Calculated)
Uvarovite,Brittle,"Transparent,Translucent","Green,green,black","6.5,7",Vitreous,White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","dodecahedral,trapezohedral",none,Isotropic,Isometric,Very High,Ca3Cr2(SiO4)3,3.77 - 3.81 g/cm3 (Measured)  3.848 g/cm3 (Calculated)
Grossularite,Brittle,"Transparent,Translucent","Brown,orange,red,yellow,green,white,colourless","6.5,7","Vitreous,Sub-Vitreous","White,brown,white",Indistinct,indistinct,indistinct,"Irregular,Uneven,Sub-Conchoidal","dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,High,Ca3Al2(SiO4)3,3.594 g/cm3 (Measured)  3.594 g/cm3 (Calculated)
Andradite,Brittle,"Transparent,Translucent","Yellow,yellow,green,green,brown,red,yellow,black,black","6.5,7","Adamantine,Resinous,Dull",White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,Very High,Ca3Fe23+(SiO4)3,3.8 - 3.9 g/cm3 (Measured)  3.859 g/cm3 (Calculated)
Sillimanite,Brittle,"Transparent,Translucent","colourless,white,yellow,brown,green,gray","6.5,7.5","Sub-Vitreous,Greasy,Silky",white,good,2 directions,30 degrees,"Irregular,Uneven","fibrous,elongate,prismatic",Weak,Biaxial (+),Orthorhombic,Moderate,Al2OSiO4,3.23 - 3.27 g/cm3 (Measured)  3.24 g/cm3 (Calculated)
Kyanite,Brittle,"Transparent,Translucent","Blue,white,gray,green,yellow,orange,pink","5.5,7","Vitreous,Sub-Vitreous,Greasy,Pearly",colourless,good,2 directions,80 degrees,Splintery,"bladed,tabular",Weak,Biaxial (-),Triclinic,High,Al2OSiO4,3.53 - 3.67 g/cm3 (Measured)  3.67 g/cm3 (Calculated)
Andalusite,Brittle,"Transparent,Translucent","Pink,red,brown,yellow,green,white,gray,violet","6.5,7.5","Vitreous,Sub-Vitreous,Greasy",White,good,2 directions,90 degrees,"Irregular,Uneven,Sub-Conchoidal","columnar,elongate,fibrous,massive",Weak,Biaxial (-),Orthorhombic,Moderate,Al2SiO5,3.13 - 3.21 g/cm3 (Measured)  3.149 g/cm3 (Calculated)
Staurolite,Brittle,Translucent,"brown,black,brown","7,7.5","Sub-Vitreous,Resinous","White,gray",good,2 directions,90 degrees,Sub-Conchoidal,Prismatic,Visible,Biaxial (+),Monoclinic,High,Fe22+Al9Si4O23(OH),3.74 - 3.83 g/cm3 (Measured)  3.686 g/cm3 (Calculated)
Chloritoid,brittle,Translucent,"green,gray,black",6.5,"Vitreous,Pearly","white,gray,green",Indistinct,indistinct,indistinct,,"platy,massive,tabular",none,"Biaxial (+),Biaxial (-)",Monoclinic,High,Fe2+Al2OSiO4(OH)2,3.4 - 3.8 g/cm3 (Measured)  
Lawsonite,brittle,"Transparent,Translucent","colourless,white,blue,blue",7.5,"Vitreous,Greasy",white,very good,2 directions,90 degrees,"Irregular,Uneven","prismatic,tabular",none,Biaxial (+),Orthorhombic,High,CaAl2Si2O7(OH)2 Â· H2O,3.1 g/cm3 (Measured)  3.09 g/cm3 (Calculated)
Zoisite,Brittle,"Transparent,Translucent","Colourless,purple,white,gray,brown,yellow,pink,green","6.5,7",Vitreous,White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","Prismatic,columnar,massive",Visible,Biaxial (+),Orthorhombic,High,Ca2Al3(Si2O7)(SiO4)O(OH),3.15 - 3.36 g/cm3 (Measured)  3.35 g/cm3 (Calculated)
Epidote,Brittle,"Transparent,Opaque","green,green,green,black",6,"Vitreous,Pearly",colourless,good,2 directions,indistinct,"Irregular,Uneven","prismatic,fibrous,granular,massive",Strong,Biaxial (-),Monoclinic,High,Ca2Fe3+Al2(Si2O7)(SiO4)O(OH),3.38 - 3.49 g/cm3 (Measured)  3.43(3) g/cm3 (Calculated)
Corundum,Brittle,"Transparent,Translucent,Opaque","Colourless,blue,red,pink,yellow,gray,brown",9,"Adamantine,Vitreous,Pearly",White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","pyramidal,prismatic,tabular",none,Uniaxial (-),Trigonal,High,Al2O3,3.98 - 4.1 g/cm3 (Measured)  3.997 g/cm3 (Calculated)
Ilmenite,Brittle,Opaque,black,"5,6","Metallic,Sub-Metallic","Black,red,brown",Indistinct,indistinct,indistinct,"Conchoidal,Sub-Conchoidal","tabular,rhombohedral,massive",Weak,Uniaxial (-),Trigonal,high,Fe2+Ti4+O3,4.68 - 4.76 g/cm3 (Measured)  4.789 g/cm3 (Calculated)
Rutile,Brittle,Transparent,"red,yellow,red,yellow,black,black,brown,bluish,violet","6,6.5","Adamantine,Metallic","black,brown,yellow",Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal,Sub-Conchoidal","prismatic,pyramidal,Granular,massive",Visible,Uniaxial (+),Tetragonal,Very High,TiO2,4.23(2) g/cm3 (Measured)  4.25 g/cm3 (Calculated)
Spinel,Brittle,"Transparent,Translucent","Black,blue,red,violet,green,brown,pink","7.5,8",Vitreous,white,Indistinct,indistinct,indistinct,"Irregular,Uneven,Splintery,Conchoidal","octahedral,dodecahedral,cubic,massive,granular",none,Isotropic,Isometric,High,MgAl2O4,3.6 - 4.1 g/cm3 (Measured)  3.578 g/cm3 (Calculated)
Ulvospinel,brittle,Opaque,"black,brown","5.5,6",Metallic,white,Indistinct,indistinct,indistinct,,massive,none,Isotropic,cubic,high,Fe22+TiO4,4.78
Brucite,Sectile,"Transparent,Translucent","White,bluish,yellow,red,brown","2.5,3","Vitreous,Waxy,Pearly",White,good,1 direction,indistinct,"Fibrous,Micaceous","tabular,massive,fibrous,granular",none,Uniaxial (+),Trigonal,Moderate,Mg(OH)2,2.39 g/cm3 (Measured)  2.368 g/cm3 (Calculated)
Gibbsite,Brittle,"Transparent,Translucent","White,gray,green,white,yellow","2.5,3","Vitreous,Sub-Vitreous,Pearly,Dull,Earthy",White,Indistinct,indistinct,indistinct,"Irregular,Uneven","massive,nodular,tabular",none,Biaxial (+),Monoclinic,Low,Al(OH)3,2.38 - 2.42 g/cm3 (Measured)  2.44 g/cm3 (Calculated)
Goethite,Brittle,Opaque,"black,yellow,brown,brown","5,5.5","Adamantine,Silky,Metallic,Dull","brown,orange,yellow,yellow",Indistinct,indistinct,indistinct,"Irregular,Uneven","Prismatic,tabular,massive,bladed,columnar,fibrous,nodular",Visible,,Orthorhombic,Very High,FeO(OH),4.27 - 4.29 g/cm3 (Measured)  4.18 g/cm3 (Calculated)
Anhydrite,Brittle,"Transparent,Translucent","Colourless,bluish,blue,gray,violet,red,white,pink,gray,gray,colourless","3,3.5","Vitreous,Greasy,Pearly",White,poor,3 directions,"120 degrees,60 degrees","Irregular,Uneven,Splintery","tabular,elongate,massive,granular,scaley,fibrous,radial",Visible,Biaxial (+),Orthorhombic,Low,CaSO4,2.98(1) g/cm3 (Measured)  2.95 g/cm3 (Calculated)
Aragonite,Brittle,"Transparent,Translucent","colourless,white,gray,blue,green,red,violet,colourless","3.5,4","Vitreous,Resinous","colourless,white",good,indistinct,indistinct,Sub-Conchoidal,"prismatic,pyramidal,tabular,columnar,radial,fibrous",none,Biaxial (-),Orthorhombic,High,CaCO3,2.947 g/cm3 (Measured)  2.944 g/cm3 (Calculated)
Apatite,brittle,"transparent,translucent","green,colourless,yellow,blue,violet,pink,brown",5,"vitreous,sub-resinous",white,Indistinct,indistinct,indistinct,"conchoidal,Uneven","tabular,prismatic,massive,granular",none,Uniaxial (-),Hexagonal,"moderate,high","Ca5(PO4)3XX = OH,Cl ,F",3.1 - 3.2 g/cm3 (Measured)  
Monazite,brittle,"translucent,opaque","brown,yellow,pink,green,gray","5,5.5","resinous,vitreous,adamantine",white,Indistinct,indistinct,indistinct,"conchoidal,Uneven","prismatic,wedge",none,Biaxial (+),Monoclinic,high,"(Ce,La,Nd,Th,Y,Dy,Sm)(PO4)Generic formula f,common 'monazite' with all elements after Ce in no particular order.",4.6-5.7
